Artifact Id,Example,Example Source,Example Description
d3f:BootLoader,EMILE,dbpedia,"EMILE is the Early Mac Image LoadEr, a bootloader for loading Linux on Macintosh computers that have m68k processors. It was written by , and is meant to eventually replace the Penguin booter that is more usually in use. In contrast to the Penguin booter, which requires a working classic Mac OS installation, EMILE modifies the boot block on a hard disk to boot Linux directly."
d3f:BootLoader,LILO (bootloader),dbpedia,"LILO (Linux Loader) is a boot loader for Linux and was the default boot loader for most Linux distributions in the years after the popularity of loadlin. Today, many distributions use GRUB as the default boot loader, but LILO and its variant ELILO are still in wide use. Further development of LILO was discontinued in December 2015 along with a request by Joachim Wiedorn for potential developers."
d3f:BootLoader,LILO (bootloader)  elilo  1,dbpedia,"LILO (Linux Loader) is a popular boot loader used in Linux operating systems. It allows users to choose from multiple installed operating systems or kernels during the system startup process. While LILO was the default boot loader for most Linux distributions in the past, it has been largely replaced by GRUB. However, LILO and its variant ELILO are still widely used. To identify the bootloader on a Linux system, one can check for specific configuration files or use the dd command to read the boot sector of the hard drive."
d3f:BootLoader,GNU GRUB,dbpedia,"GNU GRUB (short for GNU GRand Unified Bootloader, commonly referred to as GRUB) is a boot loader package from the GNU Project. GRUB is the reference implementation of the Free Software Foundation's Multiboot Specification, which provides a user the choice to boot one of multiple operating systems installed on a computer or select a specific kernel configuration available on a particular operating system's partitions."
d3f:BootLoader,SILO (bootloader),dbpedia,"The SPARC Improved bootLOader (SILO) is the bootloader used by the SPARC port of the Linux operating system; it can also be used for Solaris as a replacement for the standard Solaris boot loader. SILO generally looks similar to the basic version of LILO, giving a ""boot:"" prompt, at which the user can press the Tab key to see the available images to boot. The configuration file format is reasonably similar to LILO's, as well as some of the command-line options. However, SILO differs significantly from LILO because it reads and parses the configuration file at boot time, so it is not necessary to re-run it after every change to the file or to the installed kernel images. SILO is able to access ext2, ext3, ext4, UFS, romfs and ISO 9660 file systems, enabling it to boot arbitrary kernels from "
d3f:BootLoader,System Commander,dbpedia,"System Commander (SC for short) is a graphical boot manager/loader software application developed by VCOM. The software allowed for multiple operating systems to be installed onto a machine at once, providing a menu from which the user selected the operating system they wished to boot from. Other software with similar functionality includes NTLDR, LILO, GRUB, and . One of its components was named ."
d3f:Database,TOra,dbpedia,"TOra (Toolkit for Oracle) is a free software database development and administration GUI, available under the GNU General Public License. It features a PL/SQL debugger, an SQL worksheet with syntax highlighting, a database browser and a comprehensive set of database administration tools. In addition to Oracle Database support, support for MySQL, PostgreSQL and Teradata databases has been added since the initial launch. It uses the Qt, and can use the qScintilla2 library. The Oracle connector uses the Oracle Template Library. QT4 conversion took place in 2009 with version 1.4."
d3f:Database,Gizzard (Scala framework),dbpedia,"Gizzard is an open source sharding framework to create custom fault-tolerant, distributed databases. It was initially used by Twitter and emerged from a wide variety of data storage problems. Gizzard operates as a middleware networking service that runs on the Java Virtual Machine. It manages partitioning data across arbitrary backend datastores, that allows it to be accessed efficiently. The partitioning rules are stored in a forwarding table that maps key ranges to partitions. Each partition manages its own replication through a declarative replication tree. Gizzard handles both physical and logical shards. Physical shards point to a physical database backend whereas logical shards are trees of other shards. In addition Gizzard also supports migrations and gracefully handles failures. Th"
d3f:Database,Microsoft Data Access Components,dbpedia,"Microsoft Data Access Components (MDAC; also known as Windows DAC) is a framework of interrelated Microsoft technologies that allows programmers a uniform and comprehensive way of developing applications that can access almost any data store. Its components include: ActiveX Data Objects (ADO), OLE DB, and Open Database Connectivity (ODBC). There have been several deprecated components as well, such as the Jet Database Engine, MSDASQL (the OLE DB provider for ODBC), and Remote Data Services (RDS). Some components have also become obsolete, such as the former Data Access Objects API and Remote Data Objects."
d3f:Database,IBM Information Management System,dbpedia,The IBM Information Management System (IMS) is a joint hierarchical database and information management system that supports transaction processing.
d3f:Database,TokuMX,dbpedia,"TokuMX is an open-source distribution of MongoDB which, among other things, replaces the default B-tree data structure found in the basic MongoDB distribution with a fractal tree index. It is a drop-in replacement for MongoDB (applications will run ""as is"") that offers the scalability and performance improvements associated with fractal tree indexing. It also adds support for document-level locking, transaction support with ACID and MVCC, and replication optimization; it does not support full-text search."
d3f:Database,Ontotext GraphDB,dbpedia,"Ontotext GraphDB (previously known as BigOWLIM) is a graph database and knowledge discovery tool compliant with RDF and SPARQL and available as a high-availability cluster. Ontotext GraphDB is used in various European research projects. As of April 2021, Graph DB is ranked as the 4th most -popular RDF store and 6th most-popular Graph DBMS system. Some categorize it as a NoSQL database. In 2014 Ontotext acquired the trademark ""GraphDB"" from Sones. As for a typical graph DB, ontologies are an important input for the databases. The underlying idea is a semantic repository."
d3f:Database,DBOMP,dbpedia,"DBOMP (Database Organization and Maintenance Processor) was an early hierarchical database system from IBM for DOS. DBOMP was introduced in the late 1960s as a successor to IBM's ""Bill of Materials Processor"" called BOMP, introduced in 1965 when DOS became available. There is some disagreement as to whether DBOMP should be called a hierarchical or a network database. This was a marketing competition between IBM and competitive offerings: network had become popular, and BOMP and DBOMP did have network characteristics, but these were limited."
d3f:Database,ScopeArchiv,dbpedia,"scopeArchiv is an archive information program that covers the hybrid records management as well as the digital preservation. scopeArchiv covers the archival work process from accession to usage for public and private archives. It allows the OAIS conform and ISO 20652 based transfer of digital data to the archive. The software follows the international standards ISAD(G), ISAAR(CPF), ISDIAH, ISDF and the metadata standards EAD, Dublin Core and PREMIS. It is available in English, German and French."
d3f:Database,LucidDB,dbpedia,"LucidDB is an open-source database purpose-built to power data warehouses, OLAP servers and business intelligence systems. According to the product website, its architecture is based on column-store, bitmap indexing, hash join/aggregation, and page-level multiversioning."
d3f:Database,GT.M,dbpedia,"GT.M is a high-throughput key-value database engine optimized for transaction processing. (It is a type also referred to as ""schema-less"", ""schema-free"", or ""NoSQL"".) GT.M is also an application development platform and a compiler for the ISO standard M language, also known as MUMPS."
d3f:Database,GNOME-DB,dbpedia,"GNOME-DB is a database application by the GNOME community. The project aims to provide a free unified data access architecture to the GNOME project for all Unix platforms. GNOME-DB is useful for any application that accesses persistent data (not only databases, but data), since it now contains a data management API. Support for GObject Introspection and Vala. Starting with the 4.2 series, GNOME-DB corresponds to the libgda library."
d3f:Database,Sones GraphDB,dbpedia,"Sones GraphDB was a graph database developed by the German company sones GmbH, available from 2010 to 2012. Its last version was released in May 2011. sones GmbH, which was based in Erfurt and Leipzig, was declared bankrupt on January 1, 2012. GraphDB was unique in that its design based on weighted graphs. The open source edition was released in July 2010. The commercially available enterprise version offered a wider variety of functions. GraphDB was developed in the programming language C# and ran on Microsoft's .NET Framework and on the open source reimplementation Mono."
d3f:Database,DVD Profiler,dbpedia,"DVD Profiler is a program that allows users to catalogue their DVD collections. The program was created by Ken Cole at InterVocative Software. Although it can be used for free (with free registration), it can be upgraded to a premium registration for a one-time fee. Registration allows users to download higher-resolution cover scans, to vote on all changes to the DVD database, and to use the newest beta versions of the software. Since December 2010 there's also an app for iPhone and iPad available which works as a standalone product or in combination with the Desktop version."
d3f:Database,ProBiS,dbpedia,"ProBiS is a computer software which allows prediction of binding sites and their corresponding ligands for a given protein structure. Initially ProBiS was developed as a ProBiS algorithm by Janez Konc and Dušanka Janežič in 2010 and is now available as ProBiS server, ProBiS CHARMMing server, ProBiS algorithm and ProBiS plugin. The name ProBiS originates from the purpose of the software itself, that is to predict for a given Protein structure Binding Sites and their corresponding ligands."
d3f:Database,ComicBase,dbpedia,"ComicBase is a computer program for tracking comic book collections. It was created in 1992 by as an Apple Macintosh program. A Windows version was introduced in 1996. As of February 2015, it is on its nineteenth version (dubbed ComicBase 2017) and is available for computers running Microsoft Windows Windows 7, and later. Its database includes pricing and notes on over 800,000 individual comic book issues, and allows users to sell their comics online at a website marketplace called Atomic Avenue. ComicBase was the first software available on Blu-ray."
d3f:Database,Apache Ignite,dbpedia,"Apache Ignite is a distributed database management system for high-performance computing. Apache Ignite's database utilizes RAM as the default storage and processing tier, thus, belonging to the class of in-memory computing platforms. The disk tier is optional but, once enabled, will hold the full data set whereas the memory tier will cache full or partial data set depending on its capacity."
d3f:DisplayServer,Xvfb,dbpedia,"Xvfb or X virtual framebuffer is a display server implementing the X11 display server protocol. In contrast to other display servers, Xvfb performs all graphical operations in virtual memory without showing any screen output. From the point of view of the client, it acts exactly like any other X display server, serving requests and sending events and errors as appropriate. However, no output is shown. This virtual server does not require the computer it is running on to have any kind of graphics adapter, a screen or any input device. Only a network layer is necessary."
d3f:DisplayServer,Mir (software),dbpedia,"Mir is a computer display server and, recently, a Wayland compositor for the Linux operating system that is under development by Canonical Ltd. It was planned to replace the currently used X Window System for Ubuntu; however, the plan changed and Mutter was adopted as part of GNOME Shell. Mir was announced by Canonical on 4 March 2013 as part of the development of Unity 8, intended as the next generation for the Unity user interface. Four years later Unity 8 was dropped although Mir's development continued for Internet of Things (IoT) applications."
d3f:DisplayServer,Xgl,dbpedia,"Xgl is an obsolete display server implementation supporting the X Window System protocol designed to take advantage of modern graphics cards via their OpenGL drivers, layered on top of OpenGL. It supports hardware acceleration of all X, OpenGL and XVideo applications and graphical effects by a compositing window manager such as Compiz or Beryl. The project was started by David Reveman of Novell and first released on January 2, 2006. It was removed from the X.org server in favor of AIGLX on June 12, 2008."
d3f:DisplayServer,XQuartz,dbpedia,"XQuartz is an open-source version of the X.Org X server, a component of the X Window System (X11, or shortened to simply X, and sometimes informally X-Windows) that runs on macOS. It formally replaced Apple's internal X11 app. The name ""XQuartz"" derives from Quartz, part of the macOS Core Graphics framework, to which XQuartz connects these applications. XQuartz allows cross-platform applications using X11 for the GUI to run on macOS, many of which are not specifically designed for macOS. This includes numerous scientific and academic software projects."
d3f:DisplayServer,XDarwin,dbpedia,"XDarwin is an obsolete X Window System (X11) display server for the Darwin operating system and early versions of Mac OS X. XDarwin allows one to use programs written for X11 on those operating systems. XDarwin was ported by the XonX project, an offshoot project created by XFree86 developers. It is integrated in the upstream source code of the XFree86 and Xorg servers, where it is maintained."
d3f:DisplayServer,X-Win32,dbpedia,"In computing, X-Win32 is a proprietary implementation of the X Window System for Microsoft Windows, produced by . It is based on . X- Win32 allows remote display of UNIX windows on Windows machines in a normal window alongside the other Windows applications"
d3f:DisplayServer,Xming,dbpedia,"Xming is an X11 display server for Microsoft Windows operating systems, including Windows XP and later."
d3f:DisplayServer,Xephyr  X.Org Server  1,dbpedia,"Xephyr X.Org Server 1 (DisplayServer) is a kdrive server that allows users to run multiple X sessions on the same physical display. It supports modern extensions like composite, damage, and randr. Users can create separate windows that act as independent displays with their own resolution, color depth, and input devices. Xephyr is a tool that can be used to run different applications or games on each window and arrange them on the screen as desired. Xorg is the legacy display server that has been widely adopted and is a prerequisite for most GUI applications. Wayland is a newer display server intended to replace Xorg, but the transition to Wayland has not been fully implemented in the Linux world yet."
d3f:DisplayServer,Wayland (display server protocol),dbpedia,"Wayland is a communication protocol that specifies the communication between a display server and its clients, as well as a C library implementation of that protocol. A display server using the Wayland protocol is called a , because it additionally performs the task of a compositing window manager. As part of its efforts, the Wayland project also develops a reference implementation of a Wayland compositor called ."
d3f:DisplayServer,XFree86,dbpedia,"XFree86 is an implementation of the X Window System. It was originally written for Unix-like operating systems on IBM PC compatibles and was available for many other operating systems and platforms. It is free and open source software under the XFree86 License version 1.1. It was developed by the XFree86 Project, Inc. The lead developer was David Dawes. The last released version was 4.8.0, released December 2008. The last XFree86 CVS commit was made on May 18, 2009; the project was confirmed dormant in December 2011."
d3f:DisplayServer,X.Org Server  X.Org Server  1,dbpedia,"X.Org Server, also known as X11 or X, is a display server that is responsible for delivering payloads between an X Client and an X Server. It is a family of protocols, with X11 being the 11th version of the X protocol. While the default display server for many Linux distributions has transitioned to Wayland, X.Org Server remains widely used and flexible, allowing developers to customize it according to their needs. It is an essential component for operating the GUI windows in Linux systems."
d3f:FileSystem,NTFS-3G,dbpedia,"NTFS-3G is an open-source cross-platform implementation of the Microsoft Windows NTFS file system with read/write support. NTFS-3G often uses the FUSE file system interface, so it can run unmodified on many different operating systems. It is runnable on Linux, FreeBSD, NetBSD, OpenSolaris, illumos, BeOS, QNX, WinCE, Nucleus, VxWorks, Haiku, MorphOS, Minix, macOS and OpenBSD. It is licensed under the GNU General Public License. It is a partial fork of ntfsprogs and is under active maintenance and development."
d3f:FileSystem,E2fsprogs,dbpedia,"e2fsprogs (sometimes called the e2fs programs) is a set of utilities for maintaining the ext2, ext3 and ext4 file systems. Since those file systems are often the default for Linux distributions, it is commonly considered to be essential software."
d3f:FileSystem,PUFFS (NetBSD),dbpedia,"Pass-to-Userspace Framework File System (puffs) is a NetBSD kernel subsystem developed for running filesystems in userspace. It was added to NetBSD in the 5.0 release, and was ported to DragonFly BSD in the 3.2 release."
d3f:FileSystem,Filesystem in Userspace,dbpedia,"Filesystem in USErspace (FUSE) is a software interface for Unix and Unix-like computer operating systems that lets non-privileged users create their own file systems without editing kernel code. This is achieved by running file system code in user space while the FUSE module provides only a bridge to the actual kernel interfaces. FUSE is available for Linux, FreeBSD, OpenBSD, NetBSD (as puffs), OpenSolaris, Minix 3, macOS, and Windows. FUSE is free software originally released under the terms of the GNU General Public License and the GNU Lesser General Public License."
d3f:FileSystem,NOVA (filesystem),dbpedia,"The NOVA (non-volatile memory accelerated) file system is an open-source, log-structured file system for byte-addressable persistent memory (for example non-volatile dual in-line memory module (NVDIMM) and 3D XPoint DIMMs) for Linux."
d3f:FileSystem,Ntfsprogs,dbpedia,"Ntfsprogs was a collection of free Unix utilities for managing the NTFS file system used by the Windows NT operating system (since version 3.1) on a hard disk partition. 'ntfsprogs' was the first stable method of writing to NTFS partitions in Linux. All NTFS versions were supported, as used by 32-bit and 64-bit Windows. ntfsprogs was a popular way of interacting with NTFS partitions and was included by most Linux distributions and on Live CDs. There are also versions that have been compiled for Windows. On April 12, 2011 Tuxera announced that Ntfsprogs project was merged into NTFS-3G."
d3f:FileSystem,Radmind,dbpedia,"Radmind is a suite of Unix command-line tools and an application server designed to remotely administer the file systems of multiple client machines. For Mac OS X, there is a graphical user interface called Radmind Assistant, as well as a GUI for the Radmind server called Radmind Server Manager. Radmind was the 2003 Apple Design Awards runner-up for Best Mac OS X Server Solution. Radmind is developed by the Research Systems Unix Group at the University of Michigan."
