Artifact Id,Example,Example Source,Example Description
d3f:BootLoader,EMILE,dbpedia,"EMILE is the Early Mac Image LoadEr, a bootloader for loading Linux on Macintosh computers that have m68k processors. It was written by , and is meant to eventually replace the Penguin booter that is more usually in use. In contrast to the Penguin booter, which requires a working classic Mac OS installation, EMILE modifies the boot block on a hard disk to boot Linux directly."
d3f:BootLoader,LILO (bootloader),dbpedia,"LILO (Linux Loader) is a boot loader for Linux and was the default boot loader for most Linux distributions in the years after the popularity of loadlin. Today, many distributions use GRUB as the default boot loader, but LILO and its variant ELILO are still in wide use. Further development of LILO was discontinued in December 2015 along with a request by Joachim Wiedorn for potential developers."
d3f:BootLoader,LILO (bootloader)  elilo  1,dbpedia,"LILO (Linux Loader) is a popular boot loader used in Linux operating systems. It allows users to choose from multiple installed operating systems or kernels during the system startup process. While LILO was the default boot loader for most Linux distributions in the past, it has been largely replaced by GRUB. However, LILO and its variant ELILO are still widely used. To identify the bootloader on a Linux system, one can check for specific configuration files or use the dd command to read the boot sector of the hard drive."
d3f:BootLoader,GNU GRUB,dbpedia,"GNU GRUB (short for GNU GRand Unified Bootloader, commonly referred to as GRUB) is a boot loader package from the GNU Project. GRUB is the reference implementation of the Free Software Foundation's Multiboot Specification, which provides a user the choice to boot one of multiple operating systems installed on a computer or select a specific kernel configuration available on a particular operating system's partitions."
d3f:BootLoader,SILO (bootloader),dbpedia,"The SPARC Improved bootLOader (SILO) is the bootloader used by the SPARC port of the Linux operating system; it can also be used for Solaris as a replacement for the standard Solaris boot loader. SILO generally looks similar to the basic version of LILO, giving a ""boot:"" prompt, at which the user can press the Tab key to see the available images to boot. The configuration file format is reasonably similar to LILO's, as well as some of the command-line options. However, SILO differs significantly from LILO because it reads and parses the configuration file at boot time, so it is not necessary to re-run it after every change to the file or to the installed kernel images. SILO is able to access ext2, ext3, ext4, UFS, romfs and ISO 9660 file systems, enabling it to boot arbitrary kernels from "
d3f:BootLoader,System Commander,dbpedia,"System Commander (SC for short) is a graphical boot manager/loader software application developed by VCOM. The software allowed for multiple operating systems to be installed onto a machine at once, providing a menu from which the user selected the operating system they wished to boot from. Other software with similar functionality includes NTLDR, LILO, GRUB, and . One of its components was named ."
d3f:Command,Passwd  passwd  1,dbpedia,"The passwd command in Linux is a powerful tool used to manage password-related tasks. It allows system administrators and users to change user passwords, update password aging policies, unlock accounts, and more. The command works by hashing the input password and comparing it with the stored hashed password for validation. The /etc/passwd file contains information for all user accounts, including user ID, group ID, home directory, and default shell. Only the root user or users with sudo privileges can modify this file. The passwd command is used to modify a user's password and its properties, such as deleting the password, expiring the password, deactivating the account, and more."
d3f:Command,Cacls  cacls  1,dbpedia,"Cacls is a command-line tool in Windows that allows users to view and modify the access control list (ACL) of a file. It is used to change permissions and security settings for files and directories. However, Cacls is now deprecated and for Windows 7 or later, the recommended command is icacls."
d3f:Command,Ssh-keygen,dbpedia,"ssh-keygen is a standard component of the Secure Shell (SSH) protocol suite found on Unix, Unix-like and Microsoft Windows computer systems used to establish secure shell sessions between remote computers over insecure networks, through the use of various cryptographic techniques. The ssh-keygen utility is used to generate, manage, and convert authentication keys."
d3f:Command,Unlink (Unix),dbpedia,"In Unix-like operating systems, unlink is a system call and a command line utility to delete files. The program directly interfaces the system call, which removes the file name and (but not on GNU systems) directories like rm and rmdir. If the file name was the last hard link to the file, the file itself is deleted as soon as no program has it open. It also appears in the PHP, Node.js, R, Perl and Python standard libraries in the form of the unlink built-in function. Like the Unix utility, it is also used to delete files."
d3f:Command,Diff,dbpedia,"In computing, the utility diff is a data comparison tool that computes and displays the differences between the contents of files. Unlike edit distance notions used for other purposes, diff is line-oriented rather than character-oriented, but it is like Levenshtein distance in that it tries to determine the smallest set of deletions and insertions to create one file from the other. The utility displays the changes in one of several standard formats, such that both humans or computers can parse the changes, and use them for patching."
d3f:Command,Chattr,dbpedia,"chattr is the command in Linux that allows a user to set certain attributes of a file. lsattr is the command that displays the attributes of a file. Most BSD-like systems, including macOS, have always had an analogous chflags command to set the attributes, but no command specifically meant to display them; specific options to the ls command are used instead. The chflags command first appeared in 4.4BSD. Solaris has no commands specifically meant to manipulate them. chmod and ls are used instead."
d3f:Command,Join (Unix),dbpedia,join is a command in Unix and Unix-like operating systems that merges the lines of two sorted text files based on the presence of a common field. It is similar to the join operator used in relational databases but operating on text files.
d3f:Command,Netstat,dbpedia,"In computing, netstat (network statistics) is a command-line network utility that displays network connections for Transmission Control Protocol (both incoming and outgoing), routing tables, and a number of network interface (network interface controller or software-defined network interface) and network protocol statistics. It is available on Unix, Plan 9, Inferno, and Unix-like operating systems including macOS, Linux, Solaris and BSD. It is also available on IBM OS/2 and on Microsoft Windows NT-based operating systems including Windows XP, Windows Vista, Windows 7, Windows 8 and Windows 10."
d3f:Command,EMM386,dbpedia,"EMM386 is the expanded memory manager of Microsoft's MS-DOS, IBM's PC DOS, Digital Research's DR-DOS, and Datalight's ROM-DOS which is used to create expanded memory using extended memory on Intel 80386 CPUs. There also is an EMM386.EXE available in FreeDOS."
d3f:Command,Dump (Unix),dbpedia,"The <b>dump</b> command is a program on Unix and Unix-like operating systems used to back up file systems. It operates on blocks, below filesystem abstractions such as files and directories. Dump can back up a file system to a tape or another disk. It is often used across a network by piping its output through bzip2 then SSH. A dump utility first appeared in Version 6 AT&T UNIX. A dump command is also part of ASCII's MSX-DOS2 Tools for MSX-DOS version 2."
d3f:Command,Speak (Unix),dbpedia,"speak was a Unix utility that used a predefined set of rules to turn a file of English text into phoneme data compatible with a (later Votrax) model VS4 ""Votrax"" Speech Synthesizer. It was first included in Unix v3 and possibly later ones, with the OS-end support files and help files persisting until v6. As of late 2011, the original source code for speak, and portions of speak.m (which is generated from speak.v) were discovered. At least three versions of the man page are known to still exist."
d3f:Command,Cpio,dbpedia,"cpio is a general file archiver utility and its associated file format. It is primarily installed on Unix-like computer operating systems. The software utility was originally intended as a tape archiving program as part of the Programmer's Workbench (PWB/UNIX), and has been a component of virtually every Unix operating system released thereafter. Its name is derived from the phrase copy in and out, in close description of the program's use of standard input and standard output in its operation. POSIX abandoned cpio command in favor of pax command."
d3f:Command,Vmstat,dbpedia,"vmstat (virtual memory statistics) is a computer system monitoring tool that collects and displays summary information about operating system memory, processes, interrupts, paging and block I/O. Users of vmstat can specify a sampling interval which permits observing system activity in near-real time. The vmstat tool is available on most Unix and Unix-like operating systems, such as FreeBSD, Linux or Solaris."
d3f:Command,Tbl,dbpedia,"Part of the troff suite of Unix document layout tools, tbl is a preprocessor that formats tables in preparation for processing with troff/nroff."
d3f:Command,Alias (command),dbpedia,"In computing, alias is a command in various command-line interpreters (shells), which enables a replacement of a word by another string. It is mainly used for abbreviating a system command, or for adding default arguments to a regularly used command. alias is available in Unix shells, AmigaDOS, 4DOS/4NT, KolibriOS, Windows PowerShell, ReactOS, and the EFI shell. Aliasing functionality in the MS-DOS and Microsoft Windows operating systems is provided by the DOSKey command-line utility."
d3f:Command,Pushd and popd,dbpedia,"In computing, pushd and popd are commands used to work with the command line directory stack. They are available on command-line interpreters such as 4DOS, Bash, C shell, tcsh, Hamilton C shell, KornShell, cmd.exe, and PowerShell for operating systems such as Windows and Unix-like systems."
d3f:Command,Truss (Unix),dbpedia,"truss is a system tool available on some Unix-like operating systems. When invoked with an additional executable command-line argument, truss makes it possible to print out the system calls made by and the signals received by this executable command-line argument. As of version IEEE Std 1003.1-2008, truss is not part of the Single UNIX Specification (POSIX)."
d3f:Command,Label (command),dbpedia,"In computing, label is a command included with some operating systems (e.g., DOS, IBM OS/2, Microsoft Windows and ReactOS). It is used to create, change, or delete a volume label on a logical drive, such as a hard disk partition or a floppy disk. Used without parameters, label changes the current volume label or deletes the existing label."
d3f:Command,FASTOPEN,dbpedia,"In computing, FASTOPEN is a DOS TSR command, introduced in MS-DOS version 3.3, that provides accelerated access to frequently-used files and directories. The command is also available in SISNE plus."
d3f:Command,Rmdir,dbpedia,"In computing, rmdir (or rd) is a command which will remove an empty directory on various operating systems."
d3f:Command,Secure file transfer program,dbpedia,"sftp is a command-line interface client program to transfer files using the SSH File Transfer Protocol (SFTP), which runs inside the encrypted Secure Shell connection. It provides an interactive interface similar to that of traditional command-line FTP clients. One common implementation of sftp is part of the OpenSSH project. There are other command-line SFTP clients that use different names, such as lftp, PSFTP and PSCP (from PuTTY package) and WinSCP."
d3f:Command,Dc (computer program),dbpedia,"dc (desk calculator) is a cross-platform reverse-Polish calculator which supports arbitrary-precision arithmetic. Written by Lorinda Cherry and Robert Morris at Bell Labs, it is one of the oldest Unix utilities, preceding even the invention of the C programming language. Like other utilities of that vintage, it has a powerful set of features but terse syntax.Traditionally, the bc calculator program (with infix notation) was implemented on top of dc."
d3f:Command,Dd (Unix),dbpedia,"dd is a command-line utility for Unix, Plan 9, Inferno, and Unix-like operating systems and beyond, the primary purpose of which is to convert and copy files. On Unix, device drivers for hardware (such as hard disk drives) and special device files (such as /dev/zero and /dev/random) appear in the file system just like normal files; dd can also read and/or write from/to these files, provided that function is implemented in their respective driver. As a result, dd can be used for tasks such as backing up the boot sector of a hard drive, and obtaining a fixed amount of random data. The dd program can also perform conversions on the data as it is copied, including byte order swapping and conversion to and from the ASCII and EBCDIC text encodings."
d3f:Command,Regsvr32,dbpedia,"In computing, regsvr32 (Register Server) is a command-line utility in Microsoft Windows and ReactOS for registering and unregistering DLLs and ActiveX controls in the operating system Registry. Despite the suffix ""32"" in the name of the file, there are both 32-bit and 64-bit versions of this utility (with identical names, but in different directories). regsvr32 requires elevated privileges. To be used with regsvr32, a DLL must export the functions DllRegisterServer and DllUnregisterServer."
d3f:Command,Tree (command),dbpedia,"In computing, tree is a recursive directory listing command or program that produces a depth-indented listing of files. Originating in PC- and MS-DOS, it is found in Digital Research FlexOS, IBM/Toshiba 4690 OS, PTS-DOS, FreeDOS, IBM OS/2, Microsoft Windows, and ReactOS. A version for Unix and Unix-like systems is also available. The tree command is frequently used as part of a technical support scam, where the command is used to occupy the command prompt screen, while the scammer, pretending to be technical support, types additional text that is supposed to look like output of the command."
d3f:Command,Cacls  icacls  1,dbpedia,"Cacls and icacls are command-line tools used to view and manage NTFS permissions on files and folders in Windows. They allow users to list, change, remove, backup, and restore NTFS permissions on file system objects. Icacls is the newer version and is available for Windows 8 and later, while cacls is now deprecated and should be replaced with icacls for Windows 7 and later. These commands preserve the canonical order of ACE entries and allow users to specify permission masks for granting or denying access rights."
d3f:Command,DOSKEY,dbpedia,"DOSKEY is a command for DOS, IBM OS/2, Microsoft Windows, and ReactOS that adds command history, macro functionality, and improved editing features to the command-line interpreters <a href=""/wiki/COMMAND.COM"" title=""COMMAND.COM"">COMMAND.COM</a> and <a href=""/wiki/Cmd.exe"" title=""Cmd.exe"">cmd.exe</a>."
d3f:Command,Ren (command),dbpedia,"In computing, ren (or rename) is a command in various command-line interpreters (shells) such as <a href=""/wiki/COMMAND.COM"" title=""COMMAND.COM"">COMMAND.COM</a>, <a href=""/wiki/Cmd.exe"" title=""Cmd.exe"">cmd.exe</a>, 4DOS, 4NT and Windows PowerShell. It is used to rename computer files and in some implementations (such as AmigaDOS) also directories. It is analogous to the Unix <a href=""/wiki/Mv_(Unix)"" title=""Mv (Unix)"">mv</a> command. However, unlike mv, ren cannot be used to move files, as a new directory for the destination file may not be used. Alternatively, <a href=""/wiki/Move_(command)"" title=""Move (command)"">move</a> may be used if available. On versions of MS-DOS that do not support the move command (older than 6.00), the user would simply copy the file to a new destination, and the"
d3f:Command,Wc (Unix),dbpedia,"wc (short for word count) is a command in Unix, Plan 9, Inferno, and Unix-like operating systems. The program reads either standard input or a list of computer files and generates one or more of the following statistics: newline count, word count, and byte count. If a list of files is provided, both individual file and total statistics follow."
d3f:Command,Copy (command),dbpedia,"In computing, copy is a command in various operating systems. The command copies computer files from one directory to another."
d3f:Command,Banner (Unix),dbpedia,The banner program on Unix and Unix-like operating systems outputs a large ASCII art version of the text that is supplied to it as its program arguments. One use of the command is to create highly visible separator pages for print jobs.
d3f:Command,Ver (command),dbpedia,"In computing, ver (short for version) is a command in various command-line interpreters (shells) such as <a href=""/wiki/COMMAND.COM"" title=""COMMAND.COM"">COMMAND.COM</a>, <a href=""/wiki/Cmd.exe"" title=""Cmd.exe"">cmd.exe</a> and 4DOS/4NT. It prints the name and version of the operating system, the command shell, or in some implementations the version of other commands. It is roughly equivalent to the Unix command <a href=""/wiki/Uname"" title=""Uname"">uname</a>."
d3f:Command,Uniq,dbpedia,"<b>uniq</b> is a utility command on Unix, Plan 9, Inferno, and Unix-like operating systems which, when fed a text file or standard input, outputs the text with adjacent identical lines collapsed to one, unique line of text."
d3f:Command,CHKDSK,dbpedia,"In computing, CHKDSK (short for ""check disk"") is a system tool and command in DOS, Digital Research FlexOS, IBM/Toshiba 4690 OS, IBM OS/2, Microsoft Windows and related operating systems. It verifies the file system integrity of a volume and attempts to fix logical file system errors. It is similar to the <a href=""/wiki/Fsck"" title=""Fsck"">fsck</a> command in Unix and similar to Microsoft ScanDisk which co-existed with CHKDSK in Windows 9x and MS-DOS 6.x."
d3f:Command,Troff  troff  1,dbpedia,"Troff is an old-school document formatting language that is available for Linux systems in the form of GNU roff (groff), troff, and nroff. It is used to format manual pages on Unix-like operating systems. Troff commands and common macros are documented in a dictionary, which is sorted in ASCII order. Troff has a long history, with various versions and implementations, including groff, which is a GNU enhanced re-implementation."
d3f:Command,Dir (command),dbpedia,"In computing, dir (directory) is a command in various computer operating systems used for computer file and directory listing. It is one of the basic commands to help navigate the file system. The command is usually implemented as an internal command in the command-line interpreter (shell). On some systems, a more graphical representation of the directory structure can be displayed using the <a href=""/wiki/Tree_(command)"" title=""Tree (command)"">tree</a> command."
d3f:Command,Ifconfig,dbpedia,"ifconfig (short for interface config) is a system administration utility in Unix-like operating systems for network interface configuration. The utility is a command-line interface tool and is also used in the system startup scripts of many operating systems. It has features for configuring, controlling, and querying TCP/IP network interface parameters. Ifconfig originally appeared in 4.2BSD as part of the BSD TCP/IP suite."
